,hpi_change,zip_code
2496,584.8300000000002,34239.0
2532,514.0200000000001,92020.0
2537,413.4000000000001,2888.0
2543,409.8299999999999,92019.0
2548,-300.1500000000001,92014.0
2577,468.7099999999998,92024.0
2584,408.2499999999999,95621.0
2598,526.6899999999999,92025.0
2619,498.2800000000001,92021.0
2624,428.05999999999995,98272.0
2626,455.3800000000001,19125.0
2629,477.0000000000001,98312.0
2648,410.96000000000004,19138.0
2653,485.70000000000005,92008.0
2687,595.7400000000001,98271.0
2720,660.83,92011.0
2748,391.53,94947.0
2762,414.73000000000013,92010.0
2829,422.69000000000005,94954.0
2830,385.70000000000005,98502.0
2841,425.67999999999995,92223.0
2913,396.19,92325.0
2915,487.28999999999996,92131.0
2923,398.2800000000001,95608.0
2940,501.6300000000001,92129.0
3000,462.49,92139.0
3023,501.70000000000005,92154.0
3041,438.23999999999995,92252.0
3061,459.1400000000001,94960.0
3095,489.9900000000001,92264.0
3099,390.39,92260.0
3111,629.8399999999999,98290.0
3182,454.29999999999995,98284.0
3233,518.49,92284.0
3289,503.69000000000005,92110.0
3305,487.32000000000016,95476.0
3311,594.49,92111.0
3328,463.5999999999999,92373.0
3353,536.8000000000001,92114.0
3378,700.94,92115.0
3396,460.78,97405.0
3397,551.2300000000001,92113.0
3406,392.3799999999999,2910.0
3437,620.48,92104.0
3446,481.97,97404.0
3459,571.66,92102.0
3461,409.84999999999997,92382.0
3478,473.5899999999999,95472.0
3494,407.31000000000006,92374.0
3496,386.1200000000001,92106.0
3524,562.64,92105.0
3531,416.31999999999994,92376.0
3564,426.8599999999999,92124.0
3574,486.0799999999999,97045.0
3584,642.53,92122.0
3606,564.36,92123.0
3630,642.3599999999999,92335.0
3644,421.1099999999999,92127.0
3652,645.9000000000001,92126.0
3682,734.0099999999998,92117.0
3723,662.1700000000001,92116.0
3730,667.4100000000001,98296.0
3736,613.5999999999999,94952.0
3747,511.38,92120.0
3750,430.18000000000006,92345.0
3790,672.1599999999999,92119.0
3799,449.2800000000001,98277.0
3805,438.7199999999999,33179.0
3844,479.6500000000001,92804.0
3846,420.37,33460.0
3858,391.56000000000006,33461.0
3869,544.3899999999999,92801.0
3871,471.19000000000005,91504.0
3881,466.4000000000001,92780.0
3882,689.1100000000001,91506.0
3889,465.38,33486.0
3923,475.9000000000001,95437.0
3924,721.4600000000003,91505.0
3934,390.98,8701.0
3947,712.22,91405.0
3952,448.96000000000004,92807.0
3956,479.9000000000001,98802.0
3970,542.7199999999999,33432.0
3990,650.3699999999999,91403.0
3997,387.53000000000003,33435.0
4009,518.45,92805.0
4035,619.8899999999999,91406.0
4046,518.3000000000001,33444.0
4048,477.8599999999999,92806.0
4056,468.9000000000001,91411.0
4087,671.75,91706.0
4088,428.56999999999994,92701.0
4107,466.90999999999997,91701.0
4112,507.9000000000001,91702.0
4122,491.4200000000001,92703.0
4144,473.59000000000003,91710.0
4150,571.04,91711.0
4153,482.56999999999994,92691.0
4176,490.05999999999995,33572.0
4195,597.1200000000001,92704.0
4203,581.7700000000002,92707.0
4232,655.1099999999999,91601.0
4237,503.06999999999994,92708.0
4274,427.56999999999994,92705.0
4278,389.6999999999998,91607.0
4297,708.1599999999999,91605.0
4298,501.29999999999995,92706.0
4320,826.79,91606.0
4325,518.82,91402.0
4327,516.0799999999999,91351.0
4348,450.34000000000003,33315.0
4351,669.78,91352.0
4359,410.6,33308.0
4370,439.1500000000001,91350.0
4375,491.28,92865.0
4377,443.6300000000001,33311.0
4390,511.8299999999999,92845.0
4397,386.24,95018.0
4409,436.01999999999987,33323.0
4425,532.8299999999999,92860.0
4442,532.3299999999999,98499.0
4458,442.71000000000004,92869.0
4473,704.8499999999999,91342.0
4486,548.4000000000001,91340.0
4492,471.1600000000001,92870.0
4494,687.2,91335.0
4517,416.0899999999999,91356.0
4527,446.53,33301.0
4533,610.74,91344.0
4536,467.3700000000001,33304.0
4539,440.9900000000001,33305.0
4542,630.44,91345.0
4555,455.58000000000015,92868.0
4562,574.7,91343.0
4578,498.47,92867.0
4584,387.82000000000005,92844.0
4594,458.94000000000005,92832.0
4627,397.30999999999995,98513.0
4629,515.5,92833.0
4643,470.41999999999996,98248.0
4644,454.70000000000005,20011.0
4648,505.5600000000002,92831.0
4654,620.0899999999997,91401.0
4671,394.64,33431.0
4673,506.03999999999996,92821.0
4722,532.4200000000001,91361.0
4724,432.6099999999999,97355.0
4730,440.22000000000014,33331.0
4737,562.2800000000002,92841.0
4741,487.81999999999994,33332.0
4765,490.9100000000001,91360.0
4770,604.46,92843.0
4788,600.8,33405.0
4793,626.4200000000001,91367.0
4807,442.22,92835.0
4811,405.6399999999999,91362.0
4824,387.74,20018.0
4833,560.25,91364.0
4834,485.28,92840.0
4845,418.48,91776.0
4866,502.0899999999997,91780.0
4875,398.79999999999995,96797.0
4884,402.73,2861.0
4886,406.27,91775.0
4912,546.45,91786.0
4934,385.17999999999984,91789.0
4982,613.4900000000002,92627.0
5001,590.9999999999999,91767.0
5007,454.3700000000001,33777.0
5009,558.5200000000001,98332.0
5011,449.39999999999986,91765.0
5019,518.29,92629.0
5021,481.5,33781.0
5031,555.06,91766.0
5032,483.25000000000006,33785.0
5057,418.0799999999999,91773.0
5059,402.5,92624.0
5076,654.19,91768.0
5080,493.3499999999999,92626.0
5098,678.0200000000002,91770.0
5112,424.85,34207.0
5160,446.87,91902.0
5162,395.15999999999997,34205.0
5180,535.68,91911.0
5210,487.2900000000001,91910.0
5214,447.6500000000001,92587.0
5224,461.75,97477.0
5225,513.89,34217.0
5239,474.74,91791.0
5245,461.1500000000001,92604.0
5259,403.43000000000006,95628.0
5267,404.28999999999996,1760.0
5281,692.9700000000003,91790.0
5309,624.52,91803.0
5310,414.56000000000006,97478.0
5350,660.49,91801.0
5358,469.8599999999999,91792.0
5367,455.49,91737.0
5388,520.71,92672.0
5401,562.4000000000001,92675.0
5422,434.05999999999995,91733.0
5425,534.89,33629.0
5430,511.96000000000004,91741.0
5435,387.44000000000005,1821.0
5443,551.99,33702.0
5451,662.39,33703.0
5453,697.5600000000002,91744.0
5464,433.78999999999996,33634.0
5467,399.85,8226.0
5471,552.6899999999998,91740.0
5490,443.29999999999995,33615.0
5500,567.3400000000001,92683.0
5504,408.57000000000005,91723.0
5514,499.5799999999999,91724.0
5535,612.1199999999999,91722.0
5554,397.47,97501.0
5557,459.49,91731.0
5561,421.23999999999995,33612.0
5569,523.12,98335.0
5580,652.3199999999999,91732.0
5600,463.42999999999995,91730.0
5614,437.53999999999996,92677.0
5633,416.70000000000005,33763.0
5644,557.3999999999999,92647.0
5647,385.48,33764.0
5653,475.10000000000014,91754.0
5656,478.26999999999987,33756.0
5663,389.69000000000005,95448.0
5677,496.44000000000005,91755.0
5687,459.1700000000001,33772.0
5695,410.7199999999999,33773.0
5702,515.77,92630.0
5711,432.4699999999999,33776.0
5714,495.69000000000005,91764.0
5719,621.6200000000001,91762.0
5735,527.75,92646.0
5743,388.31000000000006,91763.0
5750,485.3600000000001,92649.0
5753,600.3499999999999,33707.0
5757,546.8999999999999,91746.0
5761,587.3199999999999,33708.0
5768,606.3899999999999,98258.0
5772,498.1099999999999,33709.0
5780,410.6100000000001,95446.0
5786,401.22,98512.0
5787,718.8700000000001,33704.0
5790,797.97,2840.0
5797,539.24,33705.0
5800,408.53,97034.0
5801,508.70000000000005,91745.0
5806,677.6199999999999,33706.0
5812,437.42999999999984,91748.0
5816,521.3999999999999,33713.0
5825,495.3499999999999,91752.0
5836,488.9,33755.0
5850,571.14,33710.0
5853,399.20000000000005,92653.0
5858,420.95,33711.0
5859,414.82000000000005,97058.0
5869,513.1299999999999,91750.0
5871,413.3100000000002,1803.0
5914,474.4599999999999,95207.0
5919,409.48,95864.0
5936,543.13,98404.0
5947,396.4000000000001,11766.0
5975,-142.89999999999986,94107.0
5985,418.6399999999999,94112.0
5990,776.4499999999998,98033.0
6002,474.76999999999987,95817.0
6050,484.3699999999999,29464.0
6088,540.5699999999999,95076.0
6093,408.94999999999993,96145.0
6095,384.56999999999994,97213.0
6116,529.72,95818.0
6121,622.3800000000001,98126.0
6145,877.4399999999998,98034.0
6164,522.74,2136.0
6180,420.71000000000004,81003.0
6194,622.5300000000001,98031.0
6211,-558.4100000000001,94070.0
6223,696.72,94063.0
6243,478.6299999999999,98030.0
6260,549.0200000000002,98136.0
6264,392.63,95815.0
6297,488.4200000000001,98032.0
6299,-657.75,94087.0
6305,393.5999999999999,95209.0
6309,403.78999999999996,81501.0
6329,717.6200000000001,98133.0
6369,460.7800000000001,98403.0
6382,466.5499999999997,94080.0
6385,390.68999999999994,81301.0
6392,404.25,95816.0
6394,-350.6200000000001,94086.0
6405,396.5000000000002,94085.0
6431,636.17,98406.0
6446,514.9899999999999,83709.0
6448,-444.9100000000001,94404.0
6468,399.78,95821.0
6471,-285.74,98040.0
6482,537.3300000000002,94501.0
6506,568.9699999999999,83702.0
6524,576.61,83706.0
6535,439.4599999999999,95203.0
6538,566.73,83705.0
6548,519.6599999999999,83704.0
6575,481.75,95148.0
6619,385.80999999999995,98119.0
6625,680.94,98042.0
6635,-158.51,94707.0
6646,694.0999999999999,95111.0
6647,424.15999999999997,83814.0
6684,425.78999999999996,97206.0
6689,418.3499999999999,28801.0
6698,627.3900000000001,98125.0
6706,467.86,95205.0
6713,607.3799999999999,98405.0
6720,-226.79999999999973,94131.0
6732,490.0699999999997,94134.0
6739,395.73,29412.0
6775,709.1799999999998,98036.0
6785,518.29,94124.0
6798,621.3999999999999,98466.0
6822,-404.3699999999999,94127.0
6848,416.69000000000005,87501.0
6878,523.6700000000001,98038.0
6888,519.9499999999999,95820.0
6902,430.2700000000001,97103.0
6919,648.71,98037.0
6929,458.53999999999996,95110.0
6939,409.56999999999994,87505.0
6945,422.31000000000006,95204.0
6965,484.5800000000004,94303.0
6972,455.05999999999995,80303.0
6995,426.0,80301.0
7003,458.21000000000015,80401.0
7015,619.78,80305.0
7026,423.9799999999999,93933.0
7029,690.8800000000001,80304.0
7055,581.1399999999999,95062.0
7075,505.46000000000004,98022.0
7076,388.1200000000001,11791.0
7103,506.48,93940.0
7109,388.0099999999999,2129.0
7127,581.79,93955.0
7140,-455.6200000000001,94002.0
7141,390.1,98024.0
7174,565.4499999999998,93950.0
7180,617.58,98023.0
7224,387.5799999999999,98148.0
7230,456.3700000000001,11520.0
7252,584.4300000000001,80220.0
7254,420.59000000000015,89509.0
7257,448.8499999999999,94803.0
7263,628.1199999999999,80219.0
7275,399.28999999999996,80224.0
7294,503.6300000000001,80222.0
7295,489.22,93901.0
7297,694.77,98020.0
7309,397.1299999999999,80214.0
7312,393.4799999999999,2124.0
7321,510.79999999999995,80212.0
7335,629.03,80211.0
7344,553.3399999999999,98166.0
7366,443.1199999999999,98467.0
7377,712.1399999999999,98155.0
7395,717.78,98021.0
7396,385.69000000000005,89451.0
7399,443.55999999999995,80232.0
7447,497.01,93906.0
7453,431.56000000000006,98388.0
7462,424.2199999999999,89503.0
7466,412.18999999999994,80226.0
7473,426.92999999999984,95746.0
7474,429.4899999999999,93905.0
7476,391.2499999999999,80231.0
7489,423.81999999999994,93907.0
7506,474.31000000000006,80228.0
7510,403.3899999999999,95065.0
7513,436.19000000000005,95215.0
7530,596.26,98028.0
7540,425.76,94037.0
7545,754.69,98144.0
7550,-1065.79,94040.0
7614,474.7099999999999,80537.0
7619,430.8900000000001,8008.0
7627,382.7600000000001,80538.0
7636,-133.52999999999997,94030.0
7675,575.3200000000002,94044.0
7681,-278.8900000000001,95070.0
7712,390.49999999999994,89108.0
7714,407.3700000000001,11776.0
7747,-486.5100000000001,94041.0
7770,398.3799999999999,22303.0
7775,386.98,11772.0
7801,438.1600000000001,94014.0
7817,543.3199999999999,98391.0
7822,443.28999999999996,80501.0
7833,405.63,30060.0
7840,484.64,98632.0
7842,485.8399999999999,94015.0
7861,393.19000000000005,94005.0
7881,427.06999999999994,97219.0
7893,447.98,11784.0
7895,386.03,98532.0
7899,-810.89,94010.0
7931,434.7800000000001,80521.0
7954,383.97,80524.0
7971,645.21,98027.0
7996,385.3299999999999,80504.0
8005,405.55999999999995,80503.0
8010,396.09000000000015,11782.0
8012,664.96,98146.0
8015,778.7,98026.0
8060,668.3200000000002,85018.0
