Zip Code,Lat,Lon,Schools in Area,Schools in Zip Code
13204,43.0437915,-76.1736316,19,10
81427,38.1536018,-107.764782,5,0
80728,40.64766555,-102.6302767187292,8,0
14103,43.2227778,-78.39,19,4
78726,30.417259950000002,-97.85381702689583,19,1
78717,30.49762575,-97.77277754660787,19,4
78704,30.247050899999998,-97.76469472493082,9,9
14209,42.91480195,-78.8607851002852,19,12
78738,30.327410999999998,-97.96877891702545,18,6
78737,30.2314196,-97.912769,19,4
13424,43.1619444,-75.34,20,3
14028,43.3220004,-78.7069788,19,1
14048,42.48009595,-79.3359916788088,20,13
13865,42.0663889,-75.6425,13,1
14005,42.8655556,-78.2794444,20,0
10922,41.3343031,-73.98590560185387,19,1
94515,38.57893355,-122.58326451420442,17,3
94508,38.5702492,-122.4404486,15,2
94539,37.506196,-121.92651243002751,20,7
04344,44.2674637,-69.7996304,17,2
94087,37.3540092,-122.0347453650267,20,13
94086,37.369171449999996,-122.0239914357775,20,5
94070,37.49616215,-122.26739759790178,19,9
96704,19.450501,-155.8789986,10,1
94707,37.8992593,-122.2877133,20,11
94705,37.857695899999996,-122.26274836617831,20,9
94563,37.897664649999996,-122.20619589543234,18,6
03743,43.3689625,-72.3373115,19,11
03462,42.8867483,-72.4695328,19,0
05738,43.525125349999996,-72.83064745427319,18,1
05751,43.64406305,-72.7936773073179,18,2
93609,36.5389557,-119.83900600687936,6,4
93604,37.33578215,-119.58017569376429,13,1
94002,37.514307450000004,-122.29249308961673,16,14
05262,42.94507285,-73.20835222088347,20,3
94010,37.5793804,-122.3563599,18,6
05161,43.2667413,-72.8570438,18,1
05037,43.46972475,-72.47053680418698,19,1
94041,37.38800485,-122.07144085319555,20,7
05060,43.9288616,-72.6650647,20,10
94038,37.5442154,-122.50784689950805,16,0
03255,43.3322982,-71.9545271,19,0
05477,44.4120937,-72.99306256844682,18,2
03253,43.6000754,-71.5178522,17,2
02540,41.55925515,-70.6055784221482,19,3
95664,38.7993458,-120.8885492,18,0
95651,38.7993458,-120.8885492,17,0
95641,38.1613059,-121.6091206,18,1
95469,39.2667982,-123.21139230984747,17,0
95612,38.4171318,-121.5285661,14,2
95485,39.1653185,-122.90541504999999,20,5
95919,39.4712773,-121.2716284,17,1
02657,42.0516206,-70.19114640458224,18,1
02493,42.36152745,-71.29551571114673,18,9
95070,37.283204049999995,-121.99834676937184,19,11
94938,38.0165895,-122.674707,18,0
94925,37.939152899999996,-122.5315476543177,20,0
96146,39.205322100000004,-120.20487622150475,16,1
02881,41.4818,-71.5302,19,8
95421,38.5393847,-123.09182661825422,18,1
94904,37.9521389,-122.53909170445607,20,5
95135,37.31067835,-121.7619037163769,20,3
95129,37.3037979,-121.99804851939545,20,14
02534,41.6567741,-70.5753073,20,0
08104,39.8584849,-75.0334825,18,0
92014,32.953817799999996,-117.2462663773838,16,4
92011,33.10425035,-117.27710632443035,20,6
08020,39.7886454,-75.2429077,19,0
91905,32.6677225,-116.2956871,17,1
92007,33.031037749999996,-117.27442548551353,20,9
97011,45.343327,-121.9756337,19,0
08750,40.1281743,-74.0490479,19,1
08542,40.3583924,-74.6645085,19,1
08609,40.2190125,-74.74176407302753,20,5
96813,21.30340865,-157.8578777471614,20,4
93110,34.4424975,-119.7623608,11,9
92210,33.732116500000004,-116.35859979915536,18,4
07921,40.6448979,-74.6484354,19,2
92130,32.9420893,-117.2206393092647,13,11
92363,34.8288933,-114.6099647,16,8
01531,42.317572150000004,-72.12185559460704,20,2
20618,38.3059613,-76.7963568,19,0
20197,39.1878065,-77.60569171043551,18,1
20674,38.1423495,-76.506621,17,2
60034,42.4644235,-88.4293835,14,2
20037,38.8979479,-77.0481676,19,1
55965,43.71694135,-91.97547290633165,12,0
56264,44.4521402,-95.78123804461558,11,0
56087,44.291730900000005,-94.72924438654195,7,0
20751,38.7789729,-76.55243238119428,18,3
55951,43.56839265,-92.71732380235696,15,0
55910,44.0982482,-91.82107524233287,7,0
56683,47.5652136,-94.73821562778689,12,0
56628,47.7453106,-93.6501708,1,1
57012,43.5219246,-97.1497806,14,2
56324,46.2836615,-95.7209286,4,0
56289,45.1178612,-95.05344,7,0
56466,46.3278035,-94.28072075910147,2,0
56450,46.18117335,-93.75323760006904,7,0
60922,40.9991991,-87.9158744,19,1
61348,41.2955905,-89.0634156,18,3
61329,41.3779931,-89.21691757769293,19,1
61283,41.6077282,-89.68851275032287,16,0
19107,39.9502748,-75.15244060444599,20,4
61486,41.20028325,-90.58057548310549,16,1
61430,40.93487535,-90.34691506700304,17,0
61428,40.9533711,-90.1842881,18,0
61257,41.618872100000004,-90.26883442238778,19,0
61256,41.55427895,-90.4128560391919,18,1
61235,41.415393550000005,-90.01795338483602,19,1
19121,39.97989975,-75.16538670369019,19,16
60426,41.61446825,-87.65189480750908,19,18
